#{"t_start": 1753292095.503113, "env_id": "intersection-v0"}
r,l,t
4.141404,13,109.771086
3.681281,13,110.018524
2.459769,13,110.428511
6.088707,12,110.78322
-2.450203,12,111.306228
-3.276646,6,111.502511
7.259887,10,111.768296
-2.0,6,111.935073
6.986264,12,112.261932
-1.0,4,112.462882
9.0,10,112.789022
3.0,13,113.155282
-3.447459,6,113.29687
6.459815,13,113.734406
-2.365057,6,114.04702
-1.0,6,114.252688
-1.446814,7,114.423654
0.0,13,114.926247
6.287897,13,115.440343
8.681208,10,115.781755
-2.436558,6,115.975539
-2.382567,7,116.148786
8.552805,11,116.513995
-3.0,12,117.009805
-3.316297,5,117.171881
0.0,6,117.369475
7.550194,10,117.560463
-0.373185,7,117.745612
-2.898076,10,118.044455
4.17213,13,118.545764
-0.299923,5,118.677701
5.560761,13,119.028643
-4.0,6,119.183759
-4.0,7,119.434927
2.459713,13,119.699455
-2.526687,9,119.954369
3.470955,13,120.54174
7.297505,10,120.779755
1.563015,13,121.320219
0.559105,13,121.640988
2.552127,13,122.305339
1.0,13,122.897837
8.62673,10,123.109334
-1.0,6,123.286833
3.231439,13,123.601325
5.222178,13,124.218552
-2.0,7,124.479313
-1.318719,5,124.634379
-2.0,4,124.709902
4.525094,13,125.166194
0.0,13,125.646682
-1.379585,7,125.926743
4.739113,13,126.321847
-1.57953,4,126.428843
-0.57992,5,126.549376
-2.318366,5,126.732577
-4.382153,8,127.017327
-3.372844,6,127.20455
-2.370348,7,127.447921
-2.121632,12,127.799376
6.152554,13,128.166235
0.618567,8,128.341647
0.0,13,128.857154
-2.370348,10,129.152338
8.62673,10,129.480908
-3.372844,6,129.687759
-2.365057,5,129.906174
6.245178,9,130.144331
0.0,13,130.583673
-1.373258,7,130.770622
2.550069,13,131.354667
-5.0,1,131.401099
7.46241,12,131.618706
7.550321,10,132.034838
9.0,9,132.257142
9.0,10,132.506388
4.151889,13,132.890952
5.924431,11,133.161251
2.287531,13,133.508323
1.472915,13,133.907947
0.0,13,134.35002
2.0,13,134.92246
8.62673,10,135.713676
-1.366575,6,135.916526
-2.3015,8,136.119184
9.0,9,136.331293
-2.0,6,136.43499
1.550067,13,136.871435
-0.958767,6,137.096624
-1.0,5,137.197875
-4.304191,12,137.742866
6.185466,12,138.087176
-1.0,5,138.322619
6.538961,11,138.629942
-5.0,10,138.865011
-2.0,5,139.04476
-2.729703,7,139.304883
-1.0,5,139.420445
6.633121,11,139.766354
-2.318366,5,139.865994
-4.0,12,140.426647
7.232946,11,140.754234
6.024807,10,141.090164
-2.0,9,141.30806
-3.447459,7,141.654972
0.0,5,141.823881
7.0,11,142.150557
-1.0,5,142.299253
-2.526744,10,142.736445
9.0,9,143.058439
9.0,9,143.323997
6.62673,10,143.667631
-3.449736,8,143.96831
6.159497,13,144.322504
-2.365057,5,144.51646
4.0,13,145.162999
-2.955889,4,145.328459
-1.379585,6,145.406186
-0.675908,6,145.611506
-2.365057,6,145.786101
5.929711,12,146.170246
-1.690719,7,146.445708
8.0,9,146.716341
-1.372771,7,146.986327
9.615599,11,147.283208
-1.379585,6,147.512353
-1.701706,7,147.722716
-0.382068,7,147.935854
2.549477,13,148.334638
-2.365057,7,148.626675
-1.436972,8,148.834295
6.616343,12,149.330412
-0.666847,6,149.457711
5.616343,13,150.004592
4.774219,13,150.504898
9.0,9,150.778641
0.0,6,151.018495
3.457467,13,151.390926
-2.382567,7,151.542762
-2.0,6,151.704349
-1.0,5,151.931994
-1.372771,6,152.161704
7.152249,13,152.690291
7.633114,9,152.885778
-1.0,5,153.06039
7.616072,10,153.273133
0.0,7,153.432024
4.552056,12,153.902496
4.232006,13,154.367998
6.540872,10,154.701931
7.473313,11,155.069799
10.0,10,155.322907
-3.026073,5,155.531444
0.629225,13,156.095741
9.0,10,156.427081
3.0,13,156.950752
0.0,5,157.046703
-2.447873,7,157.248064
6.170466,11,157.552972
5.618836,13,158.104826
7.353108,10,158.475404
9.0,9,158.69469
0.0,6,158.885063
2.552127,13,159.208646
9.0,9,159.609392
3.459715,13,160.139457
-2.370348,6,160.326897
-0.382068,7,160.51286
-1.366575,6,160.74098
0.700013,6,160.956468
7.242743,10,161.287642
3.461688,13,161.63546
5.215883,13,161.989344
0.0,5,162.124945
-2.676484,6,162.283521
6.55917,13,162.651128
-2.826971,7,162.857085
1.0,13,163.363696
9.0,10,163.662584
-1.47292,11,163.981169
8.561352,13,164.429896
4.552554,13,164.789676
0.0,6,164.984282
-2.365057,5,165.149367
7.681208,9,167.91973
8.618513,10,168.150195
-2.0,9,168.456636
-1.436972,7,168.734702
-2.365057,6,168.954364
-1.366575,6,169.106878
9.0,9,169.535267
5.913166,12,169.815639
3.860239,13,170.006261
6.93972,11,170.261104
4.025212,13,170.788874
-2.0,7,171.024969
7.156329,12,171.464896
9.0,9,171.654136
-1.0,5,171.767893
1.0,7,171.972216
7.525497,13,172.289623
3.0,13,172.660874
7.552807,10,173.016571
-0.299923,5,173.207412
-2.444964,6,173.330077
0.0,6,173.420571
4.0,13,173.875186
-2.318366,7,174.146515
-1.0,6,174.402057
7.459795,12,174.827852
2.459715,13,175.076654
5.461692,13,175.493872
7.297505,10,175.800153
2.0,13,176.207267
0.0,6,176.423759
-1.0,4,176.573802
-1.318719,6,176.640458
5.60652,13,177.135811
7.615917,10,177.392291
0.158681,6,177.593577
-4.450193,13,178.156173
6.0,13,178.436822
-0.382068,7,178.669388
0.0,6,178.855027
-2.0,7,179.077984
7.101541,12,179.551647
6.114978,13,180.0753
-2.838445,3,180.154563
-1.991517,6,180.390225
3.153368,13,180.803493
-3.450586,11,181.170173
-1.372771,6,181.32658
9.0,9,181.484556
0.0,13,181.843223
4.110192,13,182.292786
-2.83647,9,182.503099
0.0,13,183.093074
1.486477,13,183.382686
-1.0,6,183.599654
-2.447873,7,183.795901
8.62673,10,184.09094
-2.0,4,184.225444
-1.0,4,184.398184
8.314321,11,184.662363
0.0,5,184.790091
-1.0,5,184.955119
0.0,6,185.191984
6.179464,11,185.694151
-3.356173,6,185.940997
5.457536,13,186.349704
4.527339,13,186.649047
-3.316297,6,186.858553
6.536332,13,187.280881
9.0,10,187.653632
5.794187,13,188.086157
2.0,13,188.574606
7.29705,10,188.904125
-2.0,9,189.183146
1.0,7,189.397512
-2.444964,6,189.638089
4.04129,13,190.114929
8.0,8,190.33767
7.140948,13,190.777174
7.219898,12,191.132415
0.0,6,191.358484
-1.542056,10,191.68301
8.288074,11,192.008
6.167618,13,192.616741
6.143988,12,193.147414
4.151889,13,193.469041
-1.379585,6,193.700287
3.298783,13,193.925722
8.245287,11,194.212435
-1.0,4,194.407646
1.617493,13,195.050975
0.560696,13,195.569269
8.28598,11,196.043319
-2.0,6,196.194851
6.536731,11,196.49164
2.0,13,196.994063
8.615844,11,197.522101
-3.0,10,197.834014
5.0,6,198.055833
-2.644326,6,198.293824
-4.386089,9,198.544252
0.0,6,198.734213
-1.318719,5,198.867014
6.562945,11,199.237375
-3.699907,11,199.583027
1.0,13,200.09985
-1.0,8,200.455494
-2.0,11,200.857015
5.243839,13,201.615056
1.0,13,202.18916
-1.0,5,202.367043
7.552044,11,202.787936
8.616025,10,203.139777
7.527788,12,203.534471
-1.318719,6,203.670769
7.617435,9,203.858695
0.0,5,204.030523
-3.436985,11,204.287098
1.193374,11,204.753223
-1.0,6,204.920066
7.028335,13,205.238448
5.851746,11,205.928709
1.563015,13,206.33726
8.618513,10,206.568676
-1.0,5,206.6966
-0.675908,6,206.942875
0.0,6,207.156205
-1.0,5,207.305247
0.0,13,207.687659
8.0,8,207.933827
-1.528519,9,208.289652
6.633121,8,208.484796
-1.646455,7,208.762381
8.0,8,208.994841
9.0,9,209.323463
-2.444964,6,209.524049
-1.0,6,209.803052
0.629225,13,210.201615
7.681208,10,210.499927
-1.366575,5,210.622961
9.0,9,210.921157
6.189854,10,211.288175
-1.0,5,211.437175
-0.841249,5,211.5746
8.616025,10,211.82753
8.0,8,212.03318
-1.731221,7,212.339322
8.0,10,212.62765
-1.0,5,212.813614
-1.0,6,213.070244
-2.373197,6,213.373248
-3.139713,10,213.753894
2.460189,13,214.282519
6.68121,12,214.742421
-2.373197,6,214.905227
8.681208,10,215.105317
-3.220202,4,215.252605
-1.0,5,215.42969
-2.702524,7,215.638027
-1.28843,7,215.875604
7.257553,10,216.190048
-3.447459,9,216.6248
-3.440509,8,216.870378
-2.768158,7,217.087156
7.547998,13,217.623479
-1.366575,6,217.812109
1.613591,13,218.228464
10.0,10,218.506334
-1.0,5,218.658303
-1.372771,7,218.857286
0.0,6,219.076503
-1.747991,6,219.342642
-2.51166,8,219.603684
6.525118,12,219.937912
-1.57953,4,220.068937
-4.448284,9,220.374984
-3.631866,5,220.505402
7.617435,9,220.814677
-2.444964,6,221.079663
-1.366575,6,221.28035
6.540872,10,221.663414
9.0,9,221.941044
-2.458619,7,222.157751
7.681208,10,222.499046
6.885835,11,222.881842
0.0,6,223.153064
-1.0,6,223.308165
3.0,13,223.694727
8.615844,10,224.014145
-1.379585,5,224.172792
1.0,13,224.831611
8.615645,10,225.155576
7.61852,9,225.418295
0.0,6,225.602402
-1.0,5,225.808082
-2.444964,6,225.941983
-2.644326,6,226.052269
8.0,13,226.510721
5.978273,11,227.087323
9.0,9,227.249745
0.629225,13,227.826149
10.0,10,228.098346
8.0,10,228.4307
-2.0,4,228.57966
9.0,9,228.865316
7.550194,10,229.05315
1.0,13,229.451947
-1.0,5,229.62099
-5.0,1,229.713805
3.741024,13,230.174383
5.186976,10,230.492691
2.472928,13,231.036679
-4.085895,9,231.360649
-1.379585,6,231.594875
-0.841249,5,231.791733
-3.087323,11,232.329845
-2.0,4,232.476265
8.176755,12,232.79352
8.618513,10,232.991554
5.088321,13,233.374872
1.475576,13,233.755324
-2.373197,6,233.977358
11.0,11,234.303122
7.615917,9,234.463341
-1.0,6,234.640006
6.617508,10,234.944647
-0.841249,5,235.119708
-2.447873,7,235.31408
-2.540219,12,235.791994
-1.436972,7,236.122346
-1.646455,7,236.243534
-3.316297,4,236.425988
0.536731,10,236.746977
-1.379585,6,236.917105
-1.0,5,237.076574
0.550115,13,237.635127
-2.444964,5,237.811106
8.0,8,238.049304
6.613967,12,238.386057
-0.373185,7,238.624981
5.523458,13,239.308382
-2.382567,10,239.669086
7.250792,10,240.000972
7.61742,11,240.486179
7.240699,11,240.832252
1.0,7,241.034456
-2.460707,8,241.330378
-0.373185,7,241.608901
-1.539738,9,241.915104
-2.0,12,242.368
-3.301711,6,242.52697
-2.673051,4,242.633779
-1.366575,5,242.784692
-0.57992,5,242.933587
-5.0,1,242.990967
-1.366575,6,243.19743
-1.373258,7,243.415344
-4.395669,11,243.870439
0.0,5,243.99329
4.468377,13,244.488568
-1.0,5,244.628503
-1.372771,5,244.72334
7.28626,10,244.977466
-1.0,5,245.123552
8.616025,10,245.397537
7.469148,13,245.816453
0.540872,10,246.139361
-2.0,5,246.269224
8.62673,10,246.627383
7.62673,10,246.844031
-2.436558,6,246.992899
-1.366575,6,247.112128
-1.0,5,247.240866
1.643827,13,247.821779
7.681208,9,247.998632
6.475494,10,248.243974
-1.0,6,248.404475
7.306361,10,248.754164
-1.0,6,248.996588
-3.0,3,249.113328
8.163135,13,249.611206
9.0,9,249.891462
0.0,6,250.12153
-3.382507,7,250.403605
7.550321,10,250.647816
-1.539738,9,250.938593
7.231677,11,251.258885
-2.687862,6,251.545428
5.174347,12,252.251008
7.077793,13,252.788373
-1.373258,7,253.092525
9.0,9,253.331581
-3.0,7,253.608359
8.0,9,253.852534
1.536713,13,254.395324
-1.0,5,254.581708
0.0,6,254.881387
-1.0,5,255.094527
8.618513,10,255.326186
1.299605,13,255.961238
9.0,11,256.314134
8.618513,10,256.635921
5.149861,13,257.066984
-3.0,9,257.447082
9.0,10,257.910357
-4.304191,6,258.08966
2.161541,13,258.570309
-2.0,4,258.653274
-3.384158,7,258.856807
-0.299923,5,259.003866
-1.0,6,259.1604
-2.474433,9,259.426411
7.633114,9,259.63645
-0.57992,5,259.835449
3.559115,13,260.235353
8.0,8,260.361335
-1.809573,7,260.656173
-2.702524,7,260.895332
2.547616,13,261.35567
-3.434136,7,261.534679
3.154088,13,261.985455
-2.365057,6,262.145842
-3.384158,6,262.246125
4.154928,13,262.665864
8.0,9,262.981411
7.288122,10,263.242938
-2.515843,10,263.513452
-1.0,6,263.669151
8.615645,11,263.97297
10.0,10,264.219287
-1.0,5,264.455673
-1.0,5,264.673725
-1.372771,6,264.810663
-0.373185,7,265.057438
-2.447956,9,265.274088
9.0,9,265.51308
-1.0,5,265.718927
-2.112312,7,265.931594
7.552044,10,266.280836
-3.395389,9,266.618688
6.473325,11,266.907863
6.538722,11,267.224864
0.0,6,267.371725
-2.644326,6,267.626507
7.242743,13,268.156842
-2.222375,5,268.372438
0.0,6,268.657269
5.547934,13,269.193952
3.681281,6,269.392123
-1.0,5,269.576914
0.626744,8,269.825984
6.550267,12,270.121547
6.537046,11,270.439744
7.119557,13,270.915004
-1.372771,6,271.084703
-1.447958,9,271.318206
-1.318719,5,271.466375
-3.0,4,271.606477
1.246329,13,272.12783
-2.0,5,272.288833
9.0,10,272.5549
-1.06499,8,272.810431
-3.316297,6,272.989015
9.0,9,273.184677
-4.0,10,273.572864
0.0,13,273.865584
10.0,10,274.516988
7.242743,10,274.874418
2.629652,13,275.363274
-1.0,5,275.528613
7.221824,12,275.877826
-0.682533,6,275.999458
6.552816,13,276.323551
-1.0,5,276.46949
6.617508,8,276.771399
4.525159,13,277.141346
-3.0,8,277.36396
4.0,13,277.876896
7.52319,13,278.343839
-1.372771,6,278.497201
2.615844,10,278.865501
-2.444964,6,279.076619
9.0,9,279.321859
5.617421,9,279.547959
-1.447958,9,279.718436
4.720019,13,280.118152
-3.450125,8,280.412556
7.176549,12,280.817599
-2.0,10,281.095586
-3.0,5,281.201615
-1.372771,6,281.359516
-1.700382,7,281.580008
7.486392,12,281.955178
7.0,11,282.30224
-1.373258,7,282.560798
-1.318719,6,282.765363
10.0,10,283.008705
-2.768985,11,283.470838
8.615645,10,283.827586
1.0,7,284.108472
-1.436972,6,284.286482
-2.370348,5,284.419476
9.0,9,284.675646
-1.372771,6,284.841644
8.615844,10,285.272051
6.626744,9,285.546463
8.617423,10,285.960802
-3.678979,8,286.2404
0.0,6,286.40044
-1.379585,6,286.575767
-1.0,5,286.755431
-0.299923,5,286.896568
4.0,6,287.090556
-2.447873,6,287.317556
-1.0,5,287.428798
8.615844,10,287.774981
-2.0,11,288.213738
8.459729,13,288.774818
-2.0,4,288.944269
-2.0,4,289.111173
5.547562,13,289.751265
-0.382068,7,289.982644
3.523458,13,290.461548
6.68121,13,290.908555
7.196107,11,291.23087
5.865455,11,291.778562
-1.0,5,291.919616
6.523131,13,292.305446
6.534085,13,292.599392
-0.841249,5,292.70736
8.681208,10,293.083475
-0.367955,9,293.425665
2.0,13,293.991214
-3.0,13,294.469645
7.633114,9,294.684447
3.536274,13,295.226187
7.475491,12,295.694032
8.0,11,295.984576
7.231081,11,296.282463
6.297003,12,296.812892
8.288074,11,297.346165
-3.434136,5,297.490879
9.0,9,297.796119
10.0,10,298.198384
-1.379585,6,298.349498
-1.366575,5,298.536586
-1.0,6,298.801523
-1.299552,4,298.941846
9.0,9,299.218311
7.169592,11,299.606484
7.243579,10,299.773727
-1.0,5,299.990514
0.0,6,300.275158
-1.0,5,300.499219
1.0,6,300.626504
-2.51166,7,300.811935
-1.224867,6,301.040924
6.544734,13,301.537591
7.626732,9,301.944818
-2.381424,8,302.237905
8.0,8,302.520761
-2.373197,6,302.724799
8.617423,10,303.037033
-1.373258,6,303.265948
-1.0,5,303.473382
-1.0,5,303.626656
-2.51166,7,303.83617
5.095215,13,304.385687
-2.712469,8,304.717953
-3.450125,8,304.896896
9.0,9,305.272053
-1.366575,6,305.509459
-3.450125,8,305.739415
-0.841249,5,305.876518
8.459802,13,306.357435
7.62673,10,306.815941
8.616025,10,306.992562
7.457546,13,307.421587
-1.0,5,307.564476
10.0,10,307.926189
-1.379585,7,308.196578
-1.0,5,308.39582
0.0,5,308.560928
3.0,13,309.272286
-0.299923,5,309.458936
-1.366575,6,309.597907
9.0,9,309.813233
7.633114,9,310.190196
10.0,10,310.466422
8.562943,11,310.914525
-1.446814,7,311.163873
0.0,6,311.356208
7.562942,11,311.718328
-2.0,5,311.849947
-2.458619,7,312.038647
