#{"t_start": 1753290495.435851, "env_id": "intersection-v0"}
r,l,t
-2.382567,7,104.863276
9.0,11,105.125735
5.808908,12,105.440911
-2.0,6,105.693894
8.168,12,106.057362
-1.0,4,106.217749
8.0,9,106.474053
9.0,9,106.718795
10.0,10,106.905996
7.306349,11,107.254956
-2.0,5,107.402292
6.626744,9,107.58229
-2.290496,6,107.777258
0.0,6,107.976847
0.0,6,108.129162
0.0,5,108.259069
-0.366834,7,108.470739
9.0,9,108.727947
-1.372771,6,108.885478
9.0,10,109.285909
0.0,6,109.579751
8.0,8,109.797648
9.0,9,110.066334
9.0,9,110.435158
-3.678979,6,110.610355
7.353108,10,111.035255
8.243919,11,111.34271
7.525509,12,111.677365
-2.0,4,111.747126
-0.634719,6,111.892319
-0.931455,6,112.061612
-0.373185,6,112.319971
-2.318366,5,112.499683
8.617423,10,112.746249
-2.288358,6,112.960192
0.158681,6,113.189091
1.777178,9,113.456286
5.472874,13,113.944342
10.0,10,114.235347
0.0,6,114.409795
-2.365057,5,114.517009
0.0,6,114.699873
0.158681,6,114.888431
-2.0,4,115.005647
7.0,10,115.34901
7.616072,9,115.578017
-1.318719,7,115.935669
9.0,9,116.267352
8.0,8,116.593789
10.0,10,116.86608
9.0,9,117.064976
8.615844,10,117.377096
9.0,9,117.564707
0.0,6,117.837402
10.0,10,118.129234
9.0,9,118.428946
-2.370348,7,118.588719
0.0,6,118.834019
7.633114,9,119.072492
9.0,9,119.42836
9.0,9,119.692603
9.0,9,120.039329
-0.31878,7,120.285317
9.0,10,120.616964
-1.0,5,120.823657
-2.370348,6,121.081146
-0.31878,7,121.30037
8.0,9,121.591237
-0.299923,5,121.74585
6.244616,11,122.051888
9.0,9,122.321118
8.681208,10,122.654601
9.0,9,123.017976
-0.31878,7,123.225137
9.0,9,123.526011
-3.364764,6,123.720521
8.615844,10,123.899787
-0.57992,5,124.099615
7.61852,9,124.319588
4.0,6,124.600513
7.616072,9,124.847425
9.0,9,125.174899
6.139072,13,125.621299
4.474735,13,126.131156
-1.0,6,126.277927
-1.366575,6,126.442426
7.633114,10,126.74957
-1.436972,7,126.948053
8.681208,10,127.214711
-1.0,4,127.369322
9.0,9,127.546587
-1.0,5,127.67248
8.0,8,127.871686
7.287531,10,128.17136
-1.436972,7,128.349172
7.259887,10,128.694995
8.616025,10,128.938032
-1.0,5,129.15015
-1.57953,4,129.315375
-1.0,5,129.533848
9.615573,11,129.852222
-3.0,3,129.974058
7.298444,10,130.331552
0.0,6,130.545488
0.0,6,130.684362
-2.0,4,130.798597
10.0,10,131.0203
-1.379585,6,131.151352
8.249201,11,131.616487
9.0,9,132.021173
-1.0,5,132.191845
10.0,10,132.406298
-4.0,3,132.519929
-2.0,4,132.680914
9.0,9,132.881503
-0.841249,5,133.076279
9.0,9,133.430106
-2.0,7,133.594719
10.0,10,133.936482
0.0,6,134.088965
-1.700382,7,134.307638
10.0,10,134.596841
9.0,9,134.960195
9.0,9,135.328533
-4.0,2,135.388368
0.0,6,135.547289
-1.0,5,135.782701
8.615844,10,136.133548
0.0,6,136.266621
8.633113,10,136.433664
7.61852,9,136.647653
9.0,11,137.078743
0.0,6,137.304665
0.0,6,137.416685
8.633113,10,137.638915
9.0,9,137.817306
0.0,5,137.998664
10.0,10,138.22289
9.0,9,138.470757
1.0,7,138.697418
7.471393,12,139.201549
-2.0,4,139.349453
-1.299552,4,139.483416
-1.366575,6,139.725149
9.0,9,140.008214
8.681208,10,140.273254
7.626732,9,140.56852
9.0,9,140.856378
10.0,10,141.227382
5.092532,13,141.575595
0.0,6,141.718518
9.0,9,141.92955
0.0,6,142.065144
9.0,9,142.210465
-1.0,5,142.341764
8.550182,11,142.6807
0.0,5,142.79413
-0.841249,5,142.963006
0.0,6,143.197875
-0.373185,7,143.488921
10.0,10,143.723205
10.0,10,144.035762
9.0,9,144.402205
0.700013,6,144.579268
-5.0,1,144.62765
9.681208,11,145.009217
10.0,10,145.459825
9.0,9,145.74188
-1.379585,6,145.892717
-1.318719,5,146.093355
0.0,6,146.286265
-1.0,5,146.450422
6.68121,8,146.634006
-2.0,4,146.802337
1.0,7,146.991233
-1.0,5,147.118395
7.681208,9,147.468295
9.0,9,147.774419
-0.31878,6,147.973301
9.0,9,148.15649
9.0,9,148.445196
8.633113,10,148.675467
9.0,9,148.945979
8.0,8,149.278336
8.615645,10,149.627106
-5.0,1,149.699902
10.0,10,150.030039
-1.0,5,150.221487
0.158681,6,150.432396
0.0,6,150.670172
9.0,9,150.840945
10.0,10,151.153074
-1.318719,6,151.323298
10.0,10,151.554147
9.0,9,151.841758
-0.841249,5,152.042116
10.0,10,152.436332
-1.366575,6,152.691509
-1.0,5,152.858486
-1.0,5,152.994627
7.626732,10,153.267841
-1.372771,6,153.49496
3.42,9,153.790595
-2.437045,7,154.067308
0.0,6,154.312512
11.0,11,154.739344
4.0,10,155.157067
-2.444964,6,155.379069
-1.0,5,155.604918
0.0,6,155.856329
-1.372771,6,156.064366
10.0,10,156.255372
7.61852,9,156.492491
9.0,9,156.738652
-1.0,5,156.890177
-1.366575,5,157.079493
8.616025,10,157.387428
9.0,9,157.682737
10.0,10,157.949522
1.0,6,158.135868
0.0,6,158.312363
-0.31878,7,158.58596
9.0,9,158.835057
-1.0,5,158.974045
0.0,6,159.16773
-1.0,6,159.448839
8.0,8,159.648296
0.0,6,159.790696
-1.0,5,159.947307
2.0,8,160.179636
9.0,9,160.398975
9.0,9,163.1982
8.633113,10,163.59008
9.0,9,163.842507
-1.0,5,163.985517
-1.318719,6,164.117401
9.0,9,164.404912
8.0,8,164.602905
10.0,10,165.019606
-1.84084,4,165.214041
7.615917,9,165.553678
1.0,7,165.682038
0.0,6,165.85051
9.0,9,166.243031
-0.57992,5,166.413422
0.0,5,166.539899
10.0,10,166.893712
0.0,6,167.120575
8.633113,10,167.396948
8.681208,10,167.884205
-1.0,5,168.082357
9.0,9,168.348674
-1.299552,4,168.513162
0.0,6,168.718944
9.0,9,169.03576
-0.841249,5,169.269168
8.633113,10,169.554424
-2.0,4,169.65516
9.0,9,169.898109
9.0,9,170.171676
0.0,6,170.433373
9.0,10,170.705295
0.0,6,170.959099
0.0,6,171.210511
-0.31878,6,171.413736
10.0,10,171.644748
-1.0,5,171.794063
8.0,8,172.0553
0.0,6,172.24872
9.0,9,172.560595
11.0,11,172.90097
-1.0,5,173.064661
9.0,9,173.340137
-1.0,5,173.479886
7.633114,9,173.809785
1.0,7,174.070453
10.0,10,174.332456
-1.0,5,174.491363
0.700013,6,174.715225
8.0,8,174.993902
0.158681,6,175.233125
9.0,9,175.392289
-2.0,4,175.569052
8.633113,10,175.873197
0.0,5,176.008496
10.0,10,176.314469
8.616025,10,176.676062
9.0,9,176.997812
10.0,10,177.263237
-1.0,5,177.425956
-1.0,5,177.565224
7.626732,9,177.896031
9.0,9,178.126881
8.552805,11,178.405236
10.0,10,178.791246
9.0,9,179.02163
7.61852,9,179.376036
0.0,6,179.570487
10.0,10,179.906537
10.0,10,180.27451
9.0,9,180.555063
-1.0,4,180.661171
-2.0,4,180.831841
9.0,9,181.029723
0.0,6,181.261604
0.0,6,181.44674
9.0,10,181.726874
0.0,6,181.919169
-1.372771,6,182.10648
9.0,9,182.430608
-1.0,5,182.584693
9.0,9,182.789034
0.0,5,182.979901
10.0,10,183.397566
0.420014,6,183.675999
9.0,9,183.939809
-1.0,5,184.124835
8.615645,10,184.535912
9.0,9,184.796775
8.618513,10,185.093412
-1.0,5,185.192194
9.0,9,185.522177
11.0,11,185.868752
0.0,5,186.050784
8.0,8,186.309098
11.0,11,186.717808
10.0,10,187.031873
9.0,9,187.288156
10.0,10,187.526629
10.0,10,187.750931
10.0,11,187.972104
9.0,9,188.133971
9.0,9,188.425133
-0.841249,5,188.609021
10.0,10,188.877553
0.0,6,189.040132
-1.0,5,189.201919
-1.0,5,189.399828
5.0,6,189.549549
-1.372771,6,189.791463
0.0,6,189.95134
0.0,6,190.251907
-1.318719,6,190.450883
0.0,5,190.584426
9.0,9,190.866939
9.0,9,191.192624
