#{"t_start": 1753288312.887274, "env_id": "highway-fast-v0"}
r,l,t
4.4,6,81.021612
23.932711,30,81.398275
18.33338,25,81.714801
10.0,13,81.87123
19.379779,22,82.127974
3.2,5,82.189514
8.366667,11,82.322772
25.0,30,82.693761
4.0,6,82.76806
21.733333,26,83.086663
8.8,12,83.230632
7.866667,10,83.355855
9.733333,12,83.499616
26.0,30,83.863207
10.466667,13,84.023689
4.8,7,84.115019
2.666667,4,84.166916
3.366667,5,84.229591
14.2,18,84.442494
12.899377,17,84.648532
22.153247,30,84.997071
7.2,10,85.125363
6.133333,8,85.224954
6.4,9,85.341216
5.033333,7,85.434111
25.398132,30,85.795308
8.0,11,85.946157
8.999377,12,86.091043
5.932711,8,86.19101
9.6,12,86.338257
18.366667,23,86.606354
9.6,13,86.763218
9.713112,12,86.904859
6.4,9,87.012828
10.033333,13,87.166602
10.4,14,87.334586
10.866667,14,87.515269
21.553555,30,87.869586
2.666044,4,87.921211
4.8,7,88.009578
24.0,30,88.361352
25.353554,30,88.71553
4.315775,6,88.788293
6.485597,9,88.897016
5.6,8,88.994561
21.686888,30,89.361119
21.666044,27,89.682854
10.533333,14,89.854355
14.2,18,90.070084
9.6,13,90.224269
3.333333,5,90.284748
21.820221,30,90.626301
25.753204,30,90.989225
6.533333,9,91.101344
9.333333,12,91.24844
25.966045,30,91.603396
12.0,16,91.81335
6.133333,8,91.919314
18.746492,23,92.212913
17.533333,22,92.49424
25.0,30,92.870652
10.533333,14,93.0462
7.533333,10,93.165522
5.866667,8,93.262928
3.533333,5,93.324045
11.846452,14,93.505476
1.6,3,93.547077
11.7,15,93.73077
16.366044,21,93.9789
23.6,30,94.345664
19.713118,24,94.663838
8.133333,11,94.803818
15.666667,19,95.034801
2.8,4,95.084933
3.366667,5,95.146913
2.666667,4,95.198945
6.699377,9,95.315024
2.4,4,95.371135
24.0,30,95.723806
6.966667,9,95.832894
13.4,17,96.03352
6.1,8,96.148903
9.6,13,96.371648
4.8,7,96.484746
21.953555,30,96.839074
21.953555,30,97.19247
4.4,6,97.320977
25.119592,30,97.751386
14.4,19,97.997178
7.0,9,98.107641
2.666667,4,98.160218
20.486888,30,98.517707
15.033333,19,98.739623
10.033333,13,98.893647
4.533333,6,98.96741
11.480129,15,99.144966
17.6,23,99.422643
1.819667,3,99.462429
16.532711,21,99.710957
21.686888,30,100.060161
3.432711,5,100.124733
23.753555,30,100.522057
7.615152,10,100.647716
3.432711,5,100.718385
5.866667,8,100.825103
8.0,11,100.987412
16.533333,20,101.236617
22.886888,30,101.595568
17.579156,22,101.853563
1.833333,3,101.892799
3.533333,5,101.954383
5.866667,8,102.050246
11.466667,14,102.21806
21.599377,27,102.537043
6.7,9,102.64433
14.333333,18,102.860742
10.4,14,103.024495
6.666667,9,103.12975
3.533333,5,103.193006
14.066667,17,103.413306
18.153112,21,103.658882
23.553555,30,104.009481
5.866667,8,104.107362
3.2,5,104.169676
20.033333,25,104.459238
8.133333,11,104.590563
11.333333,14,104.756913
22.353554,30,105.099466
12.032711,15,105.276087
13.366667,17,105.475764
14.4,19,105.697195
15.699377,20,105.931264
23.913463,30,106.280773
14.8,18,106.488207
13.933333,17,106.686075
8.8,12,106.827978
16.533333,20,107.063018
7.353097,9,107.170898
20.113112,25,107.461361
15.432711,19,107.68145
16.913463,22,107.934823
18.999377,23,108.203368
21.820221,30,108.550062
5.866667,8,108.646258
10.4,14,108.810815
7.866667,10,108.930812
13.866044,18,109.144189
16.533333,20,109.37919
5.899377,8,109.476208
18.366667,23,109.745871
3.199377,5,109.806821
3.366667,5,109.869932
5.033333,7,109.955174
25.6,30,110.309157
5.733333,8,110.406804
22.220221,30,110.758805
26.0,30,111.116144
3.533333,5,111.178659
1.733333,3,111.218189
5.266667,7,111.302746
15.2,20,111.534501
7.866667,10,111.65488
4.4,6,111.727989
8.466044,11,111.860099
21.386888,30,112.206693
1.7,3,112.246574
4.4,6,112.319641
14.2,18,112.531561
4.099377,6,112.603758
7.0,9,112.71317
16.0,21,112.957986
9.37978,11,113.087969
4.8,7,113.171339
17.353555,25,113.465139
19.133333,23,113.732611
7.866667,10,113.876174
12.133333,16,114.0915
4.4,6,114.172775
15.2,20,114.417816
13.366667,17,114.619315
4.4,6,114.693344
4.0,6,114.766775
20.153555,30,115.122611
11.333333,15,115.334002
2.4,4,115.387866
3.2,5,115.453945
24.0,30,115.817507
15.735996,24,116.099057
2.8,4,116.150133
13.132711,17,116.351206
16.0,21,116.599115
25.266044,30,116.950974
26.0,30,117.336197
6.079779,7,117.427161
26.0,30,117.781918
2.533333,4,117.834498
18.4,24,118.124967
6.133333,8,118.229164
6.7,9,118.340347
20.8,27,118.664023
24.832711,30,119.01653
8.8,12,119.160557
7.533333,10,119.282597
3.666667,5,119.346506
4.133333,6,119.421328
26.0,30,119.780461
10.412656,13,119.936927
9.413112,11,120.068401
7.0,9,120.179333
12.0,16,120.370659
9.6,12,120.515923
8.733333,11,120.649967
7.0,9,120.757453
3.366667,5,120.819526
4.266045,6,120.892823
21.886888,30,121.259481
8.866667,11,121.392387
4.533333,6,121.470129
25.866044,30,121.825261
4.4,6,121.902538
4.4,6,121.97739
14.232711,18,122.192332
13.366667,17,122.398145
9.2,12,122.545652
7.0,9,122.657046
9.953112,12,122.802386
10.433333,14,122.969362
12.631423,16,123.163361
19.2,24,123.452756
25.0,30,123.802574
18.4,22,124.06008
25.999377,30,126.654857
1.8,3,126.694942
2.4,4,126.745143
7.866667,10,126.894169
4.4,6,126.972831
22.153555,30,127.335134
22.533333,28,127.676874
23.486888,30,128.028914
2.566667,4,128.080386
12.533333,16,128.272195
7.2,10,128.398835
8.0,10,128.522555
23.753555,30,128.877355
10.946446,13,129.033971
9.733333,13,129.19193
22.420221,30,129.555801
4.2,6,129.630939
10.4,14,129.801534
6.0,8,129.898297
4.133333,6,129.97304
6.966044,9,130.086026
15.666667,19,130.339207
24.299377,30,130.687787
11.199377,14,130.858058
10.166044,13,131.017398
6.0,8,131.115949
23.466667,28,131.448955
18.266667,22,131.714948
10.432711,13,131.875787
5.899377,8,131.97459
20.913112,25,132.274354
8.366667,11,132.404085
22.420221,30,132.770321
5.033333,7,132.855529
25.299377,30,133.207383
5.266667,7,133.294092
22.535996,30,133.679318
4.133333,6,133.761611
14.049108,17,133.972089
22.466667,30,134.324948
22.353555,30,134.688576
10.466667,13,134.845804
10.466667,13,134.998655
8.366667,11,135.128355
4.4,6,135.202573
8.0,11,135.334985
4.133333,6,135.409946
2.533333,4,135.464459
4.0,6,135.562183
0.915775,2,135.591521
2.533333,4,135.642899
7.8,10,135.764618
11.2,15,135.944209
5.266667,7,136.032803
9.733333,13,136.184331
13.019777,16,136.376258
10.4,14,136.555206
13.066667,16,136.75038
10.486888,15,136.929224
1.279667,2,136.956993
26.0,30,137.312694
8.698711,11,137.446905
13.032711,16,137.65793
3.498711,5,137.727161
3.498711,5,137.79329
10.466044,13,137.952543
3.532711,5,138.015155
1.765379,3,138.054983
3.498711,5,138.119467
3.632044,5,138.181351
6.133333,8,138.279432
6.098711,8,138.378223
1.765379,3,138.418724
13.032044,16,138.614755
10.466044,13,138.779711
4.365378,6,138.854022
8.664176,11,139.007686
7.832044,10,139.130414
22.019779,25,139.426147
13.933333,17,139.635517
1.933333,3,139.675773
20.866672,26,140.033794
10.366044,13,140.222586
5.266667,7,140.353539
23.086888,30,140.770771
12.579825,15,140.978452
6.666667,9,141.092094
7.333333,10,141.238789
7.2,10,141.381215
23.353555,30,141.749513
9.685597,13,141.909101
4.486444,6,141.983224
6.532711,9,142.094979
20.933334,30,142.489177
2.599378,4,142.546698
5.866667,8,142.645104
10.6,13,142.80706
15.033333,19,143.03226
