#{"t_start": 1753289101.764769, "env_id": "highway-fast-v0"}
r,l,t
5.31254,7,38.452739
8.548428,10,38.572112
5.118328,6,38.64389
4.819777,6,38.72009
3.01904,4,38.771546
5.019306,6,38.844755
16.311738,18,39.059846
1.880129,3,39.099037
8.446446,10,39.219248
8.279784,10,39.339529
6.845973,8,39.436273
1.953097,3,39.475556
4.046452,5,39.538352
4.846446,6,39.612942
7.479779,9,39.720282
5.579779,7,39.807481
3.212646,4,39.857168
6.852154,8,39.954281
3.745523,5,40.017495
2.019045,3,40.057494
1.846796,3,40.096015
1.71608,3,40.13496
7.812641,9,40.244531
12.886444,15,40.426022
6.485708,8,40.522293
5.645824,7,40.606984
2.046796,3,40.645385
2.019667,3,40.683449
10.385236,12,40.827376
3.846452,5,40.888519
1.953097,3,40.926091
14.712168,16,41.114124
10.646445,13,41.270007
5.679307,7,41.353442
8.153112,9,41.463601
4.313113,5,41.527488
1.782442,3,41.566414
8.885823,10,41.685484
7.313113,9,41.79411
3.779313,5,41.857524
7.01265,8,41.9537
1.213001,2,41.980571
6.382091,8,42.079002
4.246497,6,42.154807
7.746445,9,42.264191
6.313112,7,42.350272
1.313463,2,42.377551
6.619779,8,42.47575
4.812496,6,42.550655
4.851909,6,42.625394
2.912841,4,42.675538
4.885726,6,42.750572
8.145823,10,42.872093
17.046445,20,43.110293
3.414487,5,43.171525
10.019307,11,43.304405
3.112647,4,43.355662
3.013158,4,43.40516
9.546446,11,43.535377
2.019027,3,43.576097
9.886348,11,43.707643
7.646492,9,43.815712
3.846452,5,43.879004
2.684976,4,43.929752
12.285823,14,44.094054
5.779785,7,44.177611
8.046445,9,44.284085
3.812646,5,44.347372
1.846796,3,44.385822
8.913112,10,44.506912
1.846796,3,44.544609
4.513118,6,44.61896
11.07978,13,44.773977
2.197383,3,44.812089
5.746015,7,44.896675
3.97978,5,44.960216
6.113113,8,45.056316
6.61264,8,45.153158
13.845973,16,45.343716
12.17936,14,45.510049
2.046796,3,45.548725
5.286431,7,45.634254
2.153097,3,45.67254
2.146021,3,45.712716
6.81264,8,45.809671
6.812649,8,45.906703
6.019307,7,45.992721
2.752988,4,46.043778
8.51264,10,46.167266
9.845361,12,46.310118
4.013118,5,46.372584
4.953112,6,46.447812
8.486445,10,46.569977
4.052639,5,46.631756
1.118234,2,46.658206
1.946334,3,46.696803
6.485711,8,46.794682
11.645973,13,46.952848
2.013463,3,46.992198
8.379779,10,47.114243
1.131021,2,47.142276
2.779825,4,47.192468
2.913158,4,47.242536
4.013118,5,47.305223
